0:0:0:0:0:0:0:1 - - [30/Jan/2018:14:01:34 +0530] "GET /OnlinePropertySale/registration.html HTTP/1.1" 200 49608
0:0:0:0:0:0:0:1 - - [30/Jan/2018:14:01:34 +0530] "GET /OnlinePropertySale/Datepicker/jquery-ui.css HTTP/1.1" 404 1080
0:0:0:0:0:0:0:1 - - [30/Jan/2018:14:01:34 +0530] "GET /OnlinePropertySale/jquery-easyui-1.4.5/jquery.min.js HTTP/1.1" 404 1098
0:0:0:0:0:0:0:1 - - [30/Jan/2018:14:01:34 +0530] "GET /OnlinePropertySale/jquery-easyui-1.4.5/jquery.easyui.min.js HTTP/1.1" 404 1112
0:0:0:0:0:0:0:1 - - [30/Jan/2018:14:01:34 +0530] "GET /OnlinePropertySale/Datepicker/jquery-1.10.2.js HTTP/1.1" 404 1086
0:0:0:0:0:0:0:1 - - [30/Jan/2018:14:01:34 +0530] "GET /OnlinePropertySale/images/cp.png HTTP/1.1" 404 1058
0:0:0:0:0:0:0:1 - - [30/Jan/2018:14:01:34 +0530] "GET /OnlinePropertySale/Datepicker/jquery-ui.js HTTP/1.1" 404 1078
0:0:0:0:0:0:0:1 - - [30/Jan/2018:14:01:34 +0530] "GET /OnlinePropertySale/Datepicker/jquery-ui.css HTTP/1.1" 404 1080
0:0:0:0:0:0:0:1 - - [30/Jan/2018:14:01:34 +0530] "GET /OnlinePropertySale/Datepicker/jquery-ui.js HTTP/1.1" 404 1078
0:0:0:0:0:0:0:1 - - [30/Jan/2018:14:01:41 +0530] "GET /OnlinePropertySale/usernameuniquehome.html?un=nagesh HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [30/Jan/2018:14:02:13 +0530] "POST /OnlinePropertySale/registersuccess.html HTTP/1.1" 200 3145
0:0:0:0:0:0:0:1 - - [30/Jan/2018:14:02:13 +0530] "GET /OnlinePropertySale/images/cp.png HTTP/1.1" 404 1058
0:0:0:0:0:0:0:1 - - [30/Jan/2018:14:02:18 +0530] "GET /OnlinePropertySale/login1.html HTTP/1.1" 200 6493
0:0:0:0:0:0:0:1 - - [30/Jan/2018:14:02:18 +0530] "GET /OnlinePropertySale/jquery-easyui-1.4.5/themes/default/easyui.css HTTP/1.1" 404 1122
